Domain,Error,Email
loiusiana.gov,"FetchError: request to http://loiusiana.gov/ failed, reason: getaddrinfo ENOTFOUND loiusiana.gov",undefined
wisconsin.gov,"FetchError: request to http://wisconsin.gov/ failed, reason: read ECONNRESET",undefined
afrh.gov,"FetchError: request to http://afrh.gov/ failed, reason: getaddrinfo ENOTFOUND afrh.gov",Stanley.Whitehead@afrh.gov
ic.gov,"FetchError: request to http://ic.gov/ failed, reason: getaddrinfo ENOTFOUND ic.gov",(blank)
istac.gov,"FetchError: request to http://istac.gov/ failed, reason: getaddrinfo ENOTFOUND istac.gov",(blank)
osde.gov,"FetchError: request to http://osde.gov/ failed, reason: getaddrinfo EAI_AGAIN osde.gov",(blank)
opensource.gov,"FetchError: request to http://opensource.gov/ failed, reason: socket hang up",(blank)
ucia.gov,"FetchError: request to http://ucia.gov/ failed, reason: getaddrinfo ENOTFOUND ucia.gov",(blank)
coldcaserecords.gov,"FetchError: request to http://coldcaserecords.gov/ failed, reason: getaddrinfo ENOTFOUND coldcaserecords.gov",gsa-vulnerability-reports@gsa.gov
devcftc.gov,"FetchError: request to http://devcftc.gov/ failed, reason: getaddrinfo ENOTFOUND devcftc.gov",esoc@cftc.gov
cfpa.gov,"FetchError: request to https://cfpa.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
bcfp.gov,"FetchError: request to https://bcfp.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
cfpb.gov,"FetchError: request to https://cfpb.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
consumerbureau.gov,"FetchError: request to https://consumerbureau.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
consumerfinance.gov,"FetchError: request to https://consumerfinance.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
consumerfinancial.gov,"FetchError: request to https://consumerfinancial.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
consumerfinancialbureau.gov,"FetchError: request to https://consumerfinancialbureau.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
consumerprotection.gov,"FetchError: request to https://consumerprotection.gov/ failed, reason: write EPROTO 706D0000:error:0A000152:SSL routines:final_renegotiate:unsafe legacy renegotiation disabled:c:\ws\deps\openssl\openssl\ssl\statem\extensions.c:922: ",security@cfpb.gov
