domain,redirect,agency,status,title,description,keywords,robots,viewport,canonical,og_locale,og_site_name,og_type,og_title,og_description,og_url,og_image,og_image_width,og_image_height,og_image_alt,twitter_site,twitter_card,twitter_title,twitter_description,twitter_image
cityofmonongahela-pa.gov,"https://www.cityofmonongahela-pa.gov/","City of Monongahela, Pennsylvania",200,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
altoonawater.gov,"https://www.altoonawater.gov/","Altoona Water Authority",200,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jocogov.org,"https://www.jocogov.org/","Johnson County, Kansas",200,true,true,false,false,true,true,false,true,true,true,true,true,true,false,false,true,false,true,true,false,true
usarmyband.com,"https://usarmyband.com/","Department of Defense",200,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
vavmc.com,"undefined","Department of Veterans Affairs",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
vaitcampus.com,"https://vaitcampus.com/","Department of Veterans Affairs",200,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
treatmentworksforvets.org,"http://treatmentworksforvets.org","Department of Veterans Affairs",200,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
shopvcs.com,"https://shopvcs.va.gov/","Department of Veterans Affairs",200,true,true,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false
otianywhere.net,"https://otianywhere.net/","United States Agency for International Development ",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
monitor.net.co,"https://monitor.net.co/intro.aspx","United States Agency for International Development",200,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
smithsonianstudentadventures.com,"https://smithsonianstudenttravel.org/","Smithsonian Institution",200,true,true,false,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,false,false
smithsonianearthtv.com,"undefined","Smithsonian Institution",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
