domain,agency,status,redirect,valid,sitemap,allowed
arkansas.gov,"State of Arkansas",200,"http://arkansas.gov/robots.txt",true,"null",true
az.gov,"State of Arizona",200,"https://az.gov/robots.txt",true,"null",true
ca.gov,"State of California",200,"https://www.ca.gov/robots.txt",true,"https://www.ca.gov/sitemap.xml",true
alaska.gov,"State of Alaska",200,"https://alaska.gov/robots.txt",true,"null",true
ct.gov,"State of Connecticut",200,"http://ct.gov/robots.txt",true,"null",true
alabama.gov,"State of Alabama",200,"https://www.alabama.gov/robots.txt",false,"null",false
colorado.gov,"State of Colorado",200,"https://www.colorado.gov/robots.txt",true,"null",true
hawaii.gov,"State of Hawaii",200,"http://hawaii.gov/robots.txt",true,"https://portal.ehawaii.gov/sitemap.xml",true
georgia.gov,"State of Georgia",200,"https://georgia.gov/robots.txt",true,"null",true
myflorida.com,"State of Florida",200,"https://www.myflorida.com/robots.txt",false,"null",false
idaho.gov,"State of Idaho",200,"https://idaho.gov/robots.txt",true,"https://idaho.gov/sitemap.xml",true
de.gov,"State of Delaware",200,"https://de.gov/robots.txt",true,"null",true
illinois.gov,"State of Illinois",200,"https://www.illinois.gov/",false,"null",false
iowa.gov,"State of Iowa",200,"https://www.iowa.gov/robots.txt",true,"null",true
in.gov,"State of Indiana",200,"https://www.in.gov/robots.txt",true,"null",true
louisiana.gov,"State of Louisiana",404,"https://www.louisiana.gov/robots.txt",false,"null",false
maine.gov,"State of Maine",200,"https://www.maine.gov/robots.txt",true,"null",true
kentucky.gov,"State of Kentucky",404,"https://www.kentucky.gov/robots.txt",false,"null",false
mass.gov,"State of Massachusetts",200,"https://www.mass.gov/robots.txt",true,"null",true
maryland.gov,"State of Maryland",200,"https://www.maryland.gov/robots.txt",true,"null",true
mn.gov,"State of Minnesota",500,"null",false,"null",false
michigan.gov,"State of Michigan",200,"https://www.michigan.gov/robots.txt",true,"https://www.michigan.gov/sitemap.xml",true
mississippi.gov,"State of Mississippi",200,"https://www.mississippi.gov/robots.txt",true,"null",true
mt.gov,"State of Montana",404,"https://mt.gov/robots.txt",false,"null",false
nebraska.gov,"State of Nebraska",200,"https://www.nebraska.gov/robots.txt",true,"null",true
nv.gov,"State of Nevada",200,"https://nv.gov/robots.txt",true,"https://nv.gov/Sitemap.xml",true
mo.gov,"State of Missouri",200,"https://www.mo.gov/robots.txt",true,"null",true
nh.gov,"State of New Hampshire",200,"https://www.nh.gov/robots.txt",true,"null",true
nj.gov,"State of New Jersey",200,"https://nj.gov/robots.txt",true,"null",true
kansas.gov,"State of Kansas",200,"https://portal.kansas.gov/",false,"null",false
nm.gov,"State of New Mexico",200,"https://www.nm.gov/robots.txt",true,"https://nm.gov/sitemap_index.xml",true
ny.gov,"State of New York",200,"https://www.ny.gov/robots.txt",true,"null",true
nc.gov,"State of North Carolina",200,"https://www.nc.gov/robots.txt",true,"null",true
ohio.gov,"State of Ohio",404,"https://ohio.gov/robots.txt",false,"null",false
nd.gov,"State of North Dakota",200,"https://www.nd.gov/robots.txt",true,"null",true
oklahoma.gov,"State of Oklahoma",200,"https://oklahoma.gov/robots.txt",true,"https://oklahoma.gov/sitemap.xml",true
oregon.gov,"State of Oregon",200,"https://www.oregon.gov/robots.txt",true,"null",true
sc.gov,"State of South Carolina",200,"https://sc.gov/robots.txt",true,"null",true
pa.gov,"State of Pennsylvania",200,"https://www.pa.gov/robots.txt",true,"https://www.pa.gov/en.sitemap.xml",true
sd.gov,"State of South Dakota",200,"https://sd.gov/robots.txt",true,"null",true
ri.gov,"State of Rhode Island",200,"https://www.ri.gov/robots.txt",true,"null",true
texas.gov,"State of Texas",200,"https://www.texas.gov/robots.txt",true,"https://www.texas.gov/sitemap.xml",true
tn.gov,"State of Tennessee",200,"https://www.tn.gov/robots.txt",true,"null",true
virginia.gov,"State of Virginia",200,"https://www.virginia.gov/robots.txt",true,"https://www.virginia.gov/sitemap.xml",true
wa.gov,"State of Washington",200,"https://wa.gov/robots.txt",true,"null",true
utah.gov,"State of Utah",200,"https://www.utah.gov/index.html",false,"null",false
vermont.gov,"State of Vermont",200,"https://www.vermont.gov/robots.txt",true,"null",true
