domain,agency,status,hsts,max_age,expire_time,csp,x_content_type_options,security_txt
altoonawater.gov,"Altoona Water Authority",301,false,-1,-1,false,true,true
cityofmonongahela-pa.gov,"City of Monongahela, Pennsylvania",301,false,-1,-1,false,true,true
jocogov.org,"Johnson County, Kansas",301,true,31536000,1729066702445,false,true,false
vaitcampus.com,"Department of Veterans Affairs",500,false,-1,-1,false,false,false
vavmc.com,"Department of Veterans Affairs",500,false,-1,-1,false,false,false
shopvcs.com,"Department of Veterans Affairs",301,true,31557600,1729066724045,false,true,false
usarmyband.com,"Department of Defense",200,false,-1,-1,false,false,true
otianywhere.net,"United States Agency for International Development ",200,false,-1,-1,false,false,false
smithsonianstudentadventures.com,"Smithsonian Institution",301,false,-1,-1,false,false,false
smithsonianearthtv.com,"Smithsonian Institution",500,false,-1,-1,false,false,false
treatmentworksforvets.org,"Department of Veterans Affairs",200,false,-1,-1,false,false,false
monitor.net.co,"United States Agency for International Development",302,false,-1,-1,false,true,false
smithsoniancraftshow.org,"Smithsonian Institution",200,false,-1,-1,false,false,false
smithsoniancraft2wear.org,"Smithsonian Institution",500,false,-1,-1,false,false,false
smithsonianapa.org,"Smithsonian Institution",500,false,-1,-1,false,false,false
smithsonianchambermusic.org,"Smithsonian Institution",200,false,-1,-1,false,false,false
seecstories.com,"Smithsonian Institution",200,true,31536000,1729066702445,false,false,false
searchablemuseum.com,"Smithsonian Institution",301,false,-1,-1,false,false,false
nmaahcstore.com,"Smithsonian Institution",403,true,31536000,1729066702445,undefined,false,false
paleoglot.org,"Smithsonian Institution",301,false,-1,-1,false,true,false
ellajenkins.com,"Smithsonian Institution",200,false,-1,-1,false,false,false
mughalgardens.org,"Smithsonian Institution",200,false,-1,-1,false,false,false
museumonmainstreet.org,"Smithsonian Institution",200,true,31536000,1729066702445,false,true,false
discoverytheater.org,"Smithsonian Institution",200,true,31536000,1729066702445,true,true,false
cicadamerch.com,"Smithsonian Institution",403,true,31536000,1729066702445,undefined,false,false
howeycoins.com,"Securities and Exchange Commission",500,false,-1,-1,false,false,false
artcollectorsprogram.org,"Smithsonian Institution",200,true,31536000,1729066702445,true,true,false
ecosystemsontheedge.org,"Smithsonian Institution",200,false,-1,-1,false,false,false
pbgc.us,"Pension Benefit Guaranty Corporation",301,true,31536000,1729066702445,false,true,false
pbgc.net,"Pension Benefit Guaranty Corporation",301,true,31536000,1729066702445,false,true,false
pbgc.com,"Pension Benefit Guaranty Corporation",301,true,31536000,1729066702445,false,true,false
pbgc.biz,"Pension Benefit Guaranty Corporation",301,true,31536000,1729066702445,false,true,false
xsp.org,"Office of Personnel Management",500,false,-1,-1,false,false,false
usajobsrecruit.us,"Office of Personnel Management",500,false,-1,-1,false,false,false
usajobsrecruit.com,"Office of Personnel Management",500,false,-1,-1,false,false,false
usajobsassess.com,"Office of Personnel Management",500,false,-1,-1,false,false,false
usajobs.com,"Office of Personnel Management",301,true,31536000,1729066702445,true,true,false
federalcampaign.org,"Office of Personnel Management",500,false,-1,-1,false,false,false
combinedfederal.org,"Office of Personnel Management",500,false,-1,-1,false,false,false
cfcgiving.org,"Office of Personnel Management",500,false,-1,-1,false,false,false
doi.net,"Department of the Interior",500,false,-1,-1,false,false,false
rfj.tips,"Department of State",200,true,63072000,1729098238445,false,true,false
workforcegps.org,"Department of Labor",403,false,-1,-1,undefined,false,false
whatcanyoudocampaign.org,"Department of Labor",301,true,31536000,1729066702445,false,false,false
ustedquepuedehacer.org,"Department of Labor",500,false,-1,-1,false,false,false
usajobsassess.us,"Office of Personnel Management",500,false,-1,-1,false,false,false
fedroom.com,"General Services Administration",200,false,-1,-1,false,false,true
useuosh.org,"Department of Labor",301,true,31536000,1729066702445,true,true,false
onetcenter.org,"Department of Labor",301,true,63072000,1729098238445,false,false,false
servicelocator.org,"Department of Labor",301,false,-1,-1,undefined,false,false
peatworks.org,"Department of Labor",301,false,-1,-1,false,true,false
neapmap.com,"Department of Labor",200,false,-1,-1,false,false,false
joinjobcorps.com,"Department of Labor",500,false,-1,-1,false,false,false
mynextmove.org,"Department of Labor",301,true,63072000,1729098238445,false,false,false
jcsuccess.org,"Department of Labor",401,false,-1,-1,false,true,false
jctalentworks.com,"Department of Labor",500,false,-1,-1,true,false,false
jcmarketplace.com,"Department of Labor",200,true,2592000,1729037758445,true,true,false
euusosh.org,"Department of Labor",301,true,31536000,1729066702445,true,true,false
inclusiveapprenticeship.org,"Department of Labor",301,false,-1,-1,true,true,false
epolicyworks.org,"Department of Labor",200,false,-1,-1,true,false,false
capeyouth.org,"Department of Labor",200,false,-1,-1,false,true,false
alx.org,"Department of Labor",301,true,63072000,1729098238445,true,true,false
bonds4jobs.com,"Department of Labor",200,false,-1,-1,false,false,false
acinet.org,"Department of Labor",301,true,63072000,1729098238445,true,true,false
protectivedns.net,"Department of Homeland Security",500,false,-1,-1,undefined,false,false
cyberstorm8.com,"Department of Homeland Security",500,false,-1,-1,false,false,false
worklife4you.com,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
vetmedinfo.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
vetmed.wiki,"Department of Health and Human Services",500,false,-1,-1,false,false,false
jobcorps.org,"Department of Labor",500,false,-1,-1,false,false,false
vaccinefinder.org,"Department of Health and Human Services",301,false,-1,-1,true,true,false
uspreventiveservicestaskforce.org,"Department of Health and Human Services",302,false,-1,-1,true,true,false
cdmdashboard.com,"Department of Homeland Security",500,false,-1,-1,false,false,false
thehearttruth.org,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
thehearttruth.net,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
thesisterstudy.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
ssbgportal.net,"Department of Health and Human Services",301,false,-1,-1,true,true,false
thehearttruth.com,"Department of Health and Human Services",301,true,31536000,1729066702445,false,true,false
scienceforum.sc,"Department of Health and Human Services",500,false,-1,-1,false,false,false
sisterstudy.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
racwarehouse.org,"Department of Health and Human Services",302,false,-1,-1,true,true,false
quehacerahora.org,"Department of Health and Human Services",401,true,31536000,1729066702445,undefined,false,false
pubmedcentral.us,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubmedcentral.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubmed-central.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubmed-central.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
qualitynet.org,"Department of Health and Human Services",302,false,-1,-1,true,false,false
pubmed-central.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubmed-central.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubchem.us,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubchem.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
psoppc.info,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pubchem.biz,"Department of Health and Human Services",500,false,-1,-1,false,false,false
proteincapture.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
presidentschallenge.org,"Department of Health and Human Services",301,false,-1,-1,true,false,false
phiresearchlab.org,"Department of Health and Human Services",500,false,-1,-1,false,false,false
phs-nurse.org,"Department of Health and Human Services",302,false,-1,-1,false,true,false
pccqualitymonitoring.com,"Department of Health and Human Services",500,false,-1,-1,false,false,false
pccds-ln.org,"Department of Health and Human Services",200,false,-1,-1,false,false,false
oahpmdata.net,"Department of Health and Human Services",302,true,31536000,1729066702445,true,true,false
nlmgiftshop.net,"Department of Health and Human Services",500,false,-1,-1,false,false,false
