domain,agency,status,redirect,valid,sitemap,allowed,source
apps.nationalmap.gov,"United States Geological Survey",200,"https://apps.nationalmap.gov/robots.txt",true,"null",true,robots.txt
ipdaac.usgs.gov,"United States Geological Survey",500,"http://www.ipdaac.usgs.gov/",false,"null",false,undefined
water.usgs.gov,"United States Geological Survey",200,"https://water.usgs.gov/robots.txt",true,"null",true,robots.txt
volcanoes.usgs.gov,"United States Geological Survey",404,"https://volcanoes.usgs.gov/robots.txt",false,"null",false,false
ers.cr.usgs.gov,"United States Geological Survey",404,"https://ers.cr.usgs.gov/robots.txt",true,"null",true,meta
ngmdb.usgs.gov,"United States Geological Survey",200,"https://ngmdb.usgs.gov/robots.txt",true,"null",true,robots.txt
earthexplorer.usgs.gov,"United States Geological Survey",404,"https://earthexplorer.usgs.gov/robots.txt",true,"null",true,meta
store.usgs.gov,"United States Geological Survey",200,"https://store.usgs.gov/robots.txt",true,"null",true,robots.txt
dashboard.waterdata.usgs.gov,"United States Geological Survey",404,"https://dashboard.waterdata.usgs.gov/robots.txt",false,"null",false,false
waterdata.usgs.gov,"United States Geological Survey",200,"https://waterdata.usgs.gov/robots.txt",true,"http://waterdata.usgs.gov/sitemapWaterdata.xml",true,robots.txt
earthquake.usgs.gov,"United States Geological Survey",200,"https://www.usgs.gov/programs/earthquake-hazards",false,"null",false,false
bha.colorado.gov,"Colorado Behavioral Health Administration",200,"https://bha.colorado.gov/robots.txt",true,"null",true,robots.txt
cityofmonongahela-pa.gov,"City of Monongahela, Pennsylvania",200,"https://www.cityofmonongahela-pa.gov/robots.txt",true,"null",true,robots.txt
altoonawater.gov,"Altoona Water Authority",200,"https://www.altoonawater.gov/robots.txt",true,"null",true,robots.txt
jocogov.org,"Johnson County, Kansas",200,"https://www.jocogov.org/robots.txt",true,"null",true,robots.txt
usarmyband.com,"Department of Defense",200,"https://usarmyband.com/robots.txt",true,"null",true,robots.txt
vavmc.com,"Department of Veterans Affairs",200,"https://vavmc.com/robots.txt",true,"null",true,robots.txt
vaitcampus.com,"Department of Veterans Affairs",200,"http://www.vaitcampus.com/robots.txt",true,"null",true,robots.txt
treatmentworksforvets.org,"Department of Veterans Affairs",200,"https://treatmentworksforvets.org/robots.txt",true,"null",true,robots.txt
shopvcs.com,"Department of Veterans Affairs",200,"https://shopvcs.va.gov/robots.txt",true,"null",true,robots.txt
otianywhere.net,"United States Agency for International Development ",200,"https://otianywhere.net/robots.txt",true,"null",true,robots.txt
monitor.net.co,"United States Agency for International Development",200,"https://monitor.net.co/intro.aspx",false,"null",false,false
smithsonianstudentadventures.com,"Smithsonian Institution",200,"https://smithsonianstudenttravel.org/",true,"null",true,meta
smithsonianearthtv.com,"Smithsonian Institution",500,"http://www.smithsonianearthtv.com/",false,"null",false,undefined
smithsoniancraftshow.org,"Smithsonian Institution",200,"https://smithsoniancraftshow.org/robots.txt",true,"null",true,robots.txt
smithsoniancraft2wear.org,"Smithsonian Institution",200,"https://smithsoniancraftshow.org/craft2wear",false,"null",false,false
smithsonianchambermusic.org,"Smithsonian Institution",200,"https://smithsonianchambermusic.org/robots.txt",true,"null",true,robots.txt
smithsonianapa.org,"Smithsonian Institution",500,"http://www.smithsonianapa.org/",false,"null",false,undefined
seecstories.com,"Smithsonian Institution",200,"https://seecstories.com/robots.txt",true,"https://seecstories.com/sitemap.xml",true,robots.txt
searchablemuseum.com,"Smithsonian Institution",200,"https://www.searchablemuseum.com/robots.txt",true,"https://www.searchablemuseum.com/sitemap-0.xml",true,robots.txt
paleoglot.org,"Smithsonian Institution",200,"https://naturalhistory.si.edu/research/paleobiology/research/carrano-lab/polyglot-paleontologist",false,"null",false,false
nmaahcstore.com,"Smithsonian Institution",403,"https://www.nmaahcstore.com/",false,"null",false,undefined
museumonmainstreet.org,"Smithsonian Institution",200,"https://museumonmainstreet.org/robots.txt",true,"null",true,robots.txt
mughalgardens.org,"Smithsonian Institution",200,"https://mughalgardens.org/robots.txt",true,"null",true,robots.txt
